24-05-03 15:02:10.449 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.java.group.JavatechieGroupServiceApplicationTests], using SpringBootContextLoader 
24-05-03 15:02:10.463 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.java.group.JavatechieGroupServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
24-05-03 15:02:10.465 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.java.group.JavatechieGroupServiceApplicationTests]: JavatechieGroupServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
24-05-03 15:02:10.877 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.java.group.JavaGroupServiceApplication for test class com.java.group.JavatechieGroupServiceApplicationTests 
24-05-03 15:02:11.125 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener] 
24-05-03 15:02:11.201 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4cc76301, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2f08c4b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3f19b8b3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7de0c6ae, org.springframework.test.context.support.DirtiesContextTestExecutionListener@a486d78, org.springframework.test.context.transaction.TransactionalTestExecutionListener@cdc3aae, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7ef2d7a6, org.springframework.test.context.event.EventPublishingTestExecutionListener@5dcbb60, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@4c36250e, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@21526f6c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@49f5c307, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@299266e2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5471388b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@66ea1466, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1601e47, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3bffddff] 
24-05-03 15:02:11.813 [main] INFO  c.j.g.JavatechieGroupServiceApplicationTests - Starting JavatechieGroupServiceApplicationTests using Java 17.0.8.1 on DESKTOP-3E6C941 with PID 7224 (started by Admin in C:\Users\Admin\SHM-PROJECT\BACKEND-SHM) 
24-05-03 15:02:11.823 [main] INFO  c.j.g.JavatechieGroupServiceApplicationTests - No active profile set, falling back to default profiles: default 
24-05-03 15:02:13.918 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode. 
24-05-03 15:02:14.180 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 243 ms. Found 5 JPA repository interfaces. 
24-05-03 15:02:15.470 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
