Date/Time,S01-Hz,S02-Hz,S03-Hz,S04-Hz,S05-Hz,S06-Hz,S07-Hz
10/29/2021 12:45,871.588,845.231,870.243,881.616,892.496,884.709,873.666
10/29/2021 13:45,871.642,845.404,870.076,881.555,892.297,884.472,873.471
10/30/2021 13:45,871.665,964.875,870.303,882.29,893.073,884.758,874.337
10/30/2021 12:45,871.741,845.972,870.345,882.214,892.973,884.781,874.301
10/29/2021 14:45,871.842,845.896,870.403,882.17,892.803,884.704,874.04
10/29/2021 11:45,871.917,2039.95,870.289,882.05,893.217,884.825,874.226
10/30/2021 14:45,872.052,1956.735,870.773,882.868,893.347,885.081,874.852
10/30/2021 11:45,872.076,1215.169,870.802,882.553,893.657,885.272,874.909
10/29/2021 15:45,872.203,846.446,870.643,882.645,893.125,884.957,874.655
10/29/2021 10:45,872.21,846.908,870.699,883.138,894.615,885.21,875.604
10/30/2021 10:45,872.326,847.135,871.083,883.665,894.953,885.438,876.24
10/30/2021 15:45,872.493,1255.098,871.115,883.497,893.972,885.219,875.426
12/29/2021 12:45,872.525,1118.066,873.551,879.323,887.097,886.507,871.545
12/30/2021 12:45,872.534,1118.008,873.69,879.385,887.248,887.433,871.686
12/22/2021 13:45,872.594,1117.513,873.428,878.994,887.263,886.118,871.046
12/29/2021 13:45,872.636,1117.917,874.032,879.362,887.11,886.123,871.451
10/29/2021 16:45,872.661,847.391,871.125,883.474,894.047,885.396,875.531
12/31/2021 13:45,872.664,1117.786,873.765,879.488,887.058,886.189,871.608
12/31/2021 12:45,872.666,1117.913,873.673,879.635,887.429,886.11,871.879
12/30/2021 14:45,872.678,1117.982,873.989,879.787,887.157,886.242,871.788
10/29/2021 9:45,872.691,848.549,871.113,884.814,896.382,885.571,877.63
12/22/2021 12:45,872.758,1118.016,873.4,879.315,887.761,886.178,871.501
12/20/2021 12:45,872.775,1118.514,873.603,879.683,887.946,886.233,872.167
12/28/2021 14:45,872.783,1118.348,874.602,879.895,887.557,886.19,872.227
12/21/2021 12:45,872.819,1118.228,873.478,879.204,887.65,886.201,871.539
10/30/2021 9:45,872.821,848.412,871.755,885.291,896.755,886.116,878.344
12/29/2021 14:45,872.89,1118.061,873.822,879.743,887.199,886.991,871.919
